k,coherence,diversity,separation,balance,combined_score,reconstruction_error
2,0.6972040302027147,1.0,0.40076313998834945,0.9195722505952539,0.762109876157908,12.917887128976714
3,0.5774020196575232,1.0,0.5007820208972391,0.9063574019363048,0.7382007213500267,12.760889433493256
4,0.48891782595717975,0.9885057471264368,0.4871731165705703,0.9603095098784303,0.7091540130188226,12.612370573059707
5,0.5190930303997922,0.993103448275862,0.5493575254765594,0.9563047161854579,0.7329308076458164,12.50487987447907
6,0.5215402803855793,0.9954022988505746,0.5513894393344121,0.9762185193841003,0.7378704535646226,12.40509309657518
7,0.4433440208639241,0.9983579638752053,0.565638898631432,0.983923793307916,0.7153941451874088,12.314141826831941
8,0.4209436624161298,1.0,0.5884953010394164,0.9855590757409985,0.7128632034146785,12.225423931682379
9,0.4145966698607518,0.9990421455938697,0.6020240327768118,0.9878365822606785,0.7134017720238882,12.140095167255655
10,0.4194540757726026,0.9992337164750957,0.6122767641698323,0.9887174827398455,0.7173420167078829,12.059607530176683
